City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Donskoye,RU,2021-04-01 22:53:51,45.4552,41.9741,37.4,93,0,4.47
230,Fort-Shevchenko,KZ,2021-04-01 22:53:51,44.5086,50.263,51.51,32,68,25.86
231,Amahai,ID,2021-04-01 22:53:51,-3.3333,128.9167,80.56,81,87,2.06
232,Sakaiminato,JP,2021-04-01 22:53:52,35.55,133.2333,48.2,93,75,2.3
233,Aku,NG,2021-04-01 22:53:52,6.7081,7.3167,82.4,54,44,5.75
234,Porgera,PG,2021-04-01 22:53:52,-5.4667,143.2,47.75,97,100,1.36
235,Camacha,PT,2021-04-01 22:53:53,33.0833,-16.3333,62.6,82,20,10.36
236,Zakamensk,RU,2021-04-01 22:53:53,50.3741,103.2863,24.58,94,100,0.11
237,Tomatlan,MX,2021-04-01 22:53:53,19.9333,-105.25,86.58,39,0,6.49
238,Arraial Do Cabo,BR,2021-04-01 22:50:16,-22.9661,-42.0278,76.5,76,16,22.17
239,Canavieiras,BR,2021-04-01 22:53:54,-15.675,-38.9472,79.41,88,58,4.72
240,Nemuro,JP,2021-04-01 22:52:03,43.3236,145.575,35.89,81,2,3.29
241,Aracruz,BR,2021-04-01 22:53:54,-19.8203,-40.2733,77.0,78,90,2.3
242,Iisalmi,FI,2021-04-01 22:53:55,63.5592,27.1907,35.6,64,0,4.61
243,Dunedin,NZ,2021-04-01 22:50:00,-45.8742,170.5036,57.0,73,100,11.99
244,Araouane,ML,2021-04-01 22:53:55,18.9048,-3.5265,82.54,7,99,7.94
245,Bulawayo,ZW,2021-04-01 22:53:55,-20.15,28.5833,59.11,52,9,5.17
246,Aysha,RU,2021-04-01 22:53:56,55.8704,48.6319,37.4,87,90,6.71
247,Isangel,VU,2021-04-01 22:53:56,-19.55,169.2667,82.99,76,97,12.82
248,Kodiak,US,2021-04-01 22:50:03,57.79,-152.4072,26.6,43,1,24.16
249,Alakurtti,RU,2021-04-01 22:53:56,66.9672,30.3491,24.12,98,96,3.36
250,Husavik,IS,2021-04-01 22:53:57,66.0449,-17.3389,39.2,70,20,10.4
251,Ankang,CN,2021-04-01 22:53:57,32.68,109.0172,52.34,93,100,2.75
252,Sauce,UY,2021-04-01 22:53:57,-34.6469,-56.0628,68.0,64,0,12.66
253,Honiara,SB,2021-04-01 22:53:57,-9.4333,159.95,85.1,71,87,6.29
254,Cockburn Town,TC,2021-04-01 22:50:18,21.4612,-71.1419,78.8,65,40,16.11
255,Xuddur,SO,2021-04-01 22:53:58,4.1213,43.8894,76.32,71,100,15.55
256,Hambantota,LK,2021-04-01 22:53:58,6.1241,81.1185,78.66,83,18,14.5
257,Santo Tomas,PH,2021-04-01 22:53:58,14.1079,121.1414,82.99,73,20,5.7
258,Athabasca,CA,2021-04-01 22:53:59,54.7169,-113.2854,59.0,30,35,12.66
259,Cavalcante,BR,2021-04-01 22:53:59,-13.7975,-47.4583,75.38,64,100,3.62
260,Vytegra,RU,2021-04-01 22:53:59,61.0064,36.4481,29.03,96,97,4.41
261,Mount Gambier,AU,2021-04-01 22:54:00,-37.8333,140.7667,60.8,63,6,9.22
262,Half Moon Bay,US,2021-04-01 22:54:00,37.4636,-122.4286,77.0,30,1,9.22
263,Gizo,SB,2021-04-01 22:54:00,-8.103,156.8419,83.88,73,59,8.52
264,Tiksi,RU,2021-04-01 22:54:01,71.6872,128.8694,-8.25,98,100,10.58
